775.691	KEY	/
775.891	KEY	l
776.065	KEY	o
776.158	KEY	g
776.860	KEY	RETURN
803.129	Moved	1091	883
803.277	Pressed	Left
803.365	Released	Left
803.650	Moved	1090	883
803.664	Moved	1082	883
803.682	Moved	1070	883
803.697	Moved	1054	885
803.716	Moved	1028	888
803.731	Moved	990	893
803.747	Moved	949	898
803.764	Moved	901	899
803.783	Moved	841	899
803.798	Moved	778	899
803.816	Moved	712	899
803.831	Moved	674	899
803.849	Moved	658	899
803.864	Moved	656	899
803.883	Moved	656	899
803.965	Moved	655	899
803.983	Moved	645	895
803.998	Moved	627	891
804.017	Moved	601	887
804.032	Moved	581	884
804.050	Moved	567	882
804.065	Moved	555	880
804.083	Moved	548	879
804.132	Moved	549	878
804.150	Moved	549	876
804.165	Moved	549	875
808.443	Moved	550	875
808.462	Moved	557	875
808.477	Moved	559	875
808.510	Moved	560	875
808.597	Moved	561	875
808.611	Moved	562	875
808.644	Moved	564	875
808.677	Moved	565	875
808.728	Moved	566	875
808.744	Moved	567	875
808.778	Moved	568	875
808.794	Moved	569	875
808.945	Moved	570	875
808.978	Moved	571	875
809.162	Moved	572	875
809.246	Moved	573	875
809.262	Moved	574	875
809.279	Moved	575	875
809.312	Moved	576	875
809.446	Moved	577	875
809.463	Moved	578	875
809.496	Moved	579	875
809.513	Moved	581	875
809.530	Moved	583	875
813.758	Moved	590	875
813.774	Moved	622	875
813.791	Moved	661	880
813.808	Moved	704	887
813.825	Moved	745	887
813.841	Moved	780	888
813.858	Moved	814	888
813.875	Moved	846	888
813.891	Moved	872	890
813.908	Moved	891	890
813.925	Moved	900	890
813.942	Moved	905	890
813.959	Moved	911	890
813.975	Moved	920	888
813.992	Moved	929	887
814.008	Moved	938	886
814.025	Moved	942	885
814.042	Moved	946	885
814.059	Moved	953	885
814.075	Moved	956	885
814.159	Moved	958	884
814.175	Moved	957	884
814.192	Moved	949	880
814.209	Moved	937	877
814.226	Moved	925	874
814.242	Moved	914	871
814.259	Moved	906	869
814.276	Moved	901	868
827.929	Moved	902	868
827.946	Moved	908	868
827.962	Moved	911	868
827.979	Moved	914	868
828.079	Moved	916	868
828.113	Moved	917	868
828.129	Moved	918	868
828.146	Moved	920	868
828.163	Moved	922	868
828.180	Moved	925	868
828.196	Moved	927	868
828.247	Moved	928	868
828.297	Moved	929	868
828.363	Moved	929	867
828.380	Moved	931	867
828.397	Moved	932	867
828.430	Moved	933	867
828.464	Moved	934	867
828.482	Moved	938	866
828.497	Moved	945	865
828.514	Moved	949	864
828.531	Moved	950	864
843.469	Pressed	Left
843.629	Released	Left
855.687	Moved	949	864
855.720	Moved	947	864
855.753	Moved	946	862
855.770	Moved	943	859
855.787	Moved	938	853
855.804	Moved	932	846
855.820	Moved	927	840
855.837	Moved	922	834
855.854	Moved	917	828
855.870	Moved	910	819
855.887	Moved	899	812
855.904	Moved	891	806
855.921	Moved	886	804
855.937	Moved	884	802
855.954	Moved	881	799
855.971	Moved	872	792
855.987	Moved	861	787
856.004	Moved	850	783
856.021	Moved	842	782
856.038	Moved	837	782
856.054	Moved	835	782
856.071	Moved	831	783
856.088	Moved	825	785
856.104	Moved	817	789
856.121	Moved	810	792
856.138	Moved	803	794
856.156	Moved	802	795
856.205	Moved	800	795
856.221	Moved	799	795
856.238	Moved	797	795
856.255	Moved	796	795
856.272	Moved	794	795
856.288	Moved	791	795
856.305	Moved	781	795
856.322	Moved	770	795
856.339	Moved	758	795
856.355	Moved	747	795
856.372	Moved	736	795
856.388	Moved	726	795
856.405	Moved	714	795
856.422	Moved	704	795
856.472	Moved	700	796
856.506	Moved	699	796
856.539	Moved	698	796
856.556	Moved	696	796
856.572	Moved	695	796
856.589	Moved	692	796
856.606	Moved	678	796
856.622	Moved	659	796
856.639	Moved	640	796
856.656	Moved	628	796
856.673	Moved	621	796
856.890	Moved	624	795
856.907	Moved	624	793
856.923	Moved	626	792
856.940	Moved	629	790
856.957	Moved	631	789
856.973	Moved	633	788
856.990	Moved	634	788
857.007	Moved	638	787
857.024	Moved	643	785
857.040	Moved	644	785
857.057	Moved	645	785
857.809	Moved	646	785
857.826	Moved	648	785
857.842	Moved	649	785
857.859	Moved	651	787
857.876	Moved	652	787
857.909	Moved	654	787
857.959	Moved	655	787
857.976	Moved	657	787
857.993	Moved	660	787
858.010	Moved	661	787
858.026	Moved	663	787
858.043	Moved	664	787
858.060	Moved	665	787
858.093	Moved	666	787
858.126	Moved	667	787
858.177	Moved	668	787
858.193	Moved	669	787
858.227	Moved	670	787
858.244	Moved	671	787
858.277	Moved	672	787
858.294	Moved	673	787
858.327	Moved	674	787
858.377	Moved	675	787
858.494	Moved	676	787
858.561	Moved	677	787
858.594	Moved	678	787
858.611	Moved	679	787
858.645	Moved	680	787
859.112	Moved	681	787
859.129	Moved	683	787
859.146	Moved	686	787
859.163	Moved	690	787
859.179	Moved	692	787
859.196	Moved	694	787
859.213	Moved	695	787
859.229	Moved	696	787
859.246	Moved	698	787
859.263	Moved	699	787
859.296	Moved	700	787
859.330	Moved	701	787
859.363	Moved	703	787
859.814	Moved	703	786
859.833	Moved	707	786
859.848	Moved	713	786
859.865	Moved	717	786
859.881	Moved	718	786
859.948	Moved	720	786
860.015	Moved	721	786
860.817	Moved	723	786
860.834	Moved	725	786
860.850	Moved	729	787
860.869	Moved	732	787
860.884	Moved	733	787
860.901	Moved	735	788
860.917	Moved	737	789
861.003	Moved	738	789
861.018	Moved	739	789
861.036	Moved	741	789
861.051	Moved	743	789
861.084	Moved	744	789
865.262	Moved	747	789
865.279	Moved	752	790
865.296	Moved	756	790
865.312	Moved	760	791
865.330	Moved	762	791
865.413	Moved	764	791
865.429	Moved	765	791
865.480	Moved	766	791
865.530	Moved	767	791
865.580	Moved	768	791
865.597	Moved	769	791
865.630	Moved	771	791
865.914	Moved	773	791
865.933	Moved	775	791
865.947	Moved	778	791
865.966	Moved	782	791
865.981	Moved	786	791
876.325	Moved	787	791
876.342	Moved	789	791
876.359	Moved	792	791
876.375	Moved	797	791
876.392	Moved	806	791
876.409	Moved	821	791
876.426	Moved	843	791
876.442	Moved	867	791
876.459	Moved	886	791
876.476	Moved	904	791
876.492	Moved	915	791
876.509	Moved	921	791
876.893	Moved	923	791
876.910	Moved	922	788
876.927	Moved	918	786
876.944	Moved	915	786
876.960	Moved	914	786
876.977	Moved	912	786
877.010	Moved	911	786
877.044	Moved	910	787
877.061	Moved	909	787
877.077	Moved	907	789
877.111	Moved	905	789
877.195	Moved	904	789
877.212	Moved	902	790
877.295	Moved	901	790
877.311	Moved	900	790
877.328	Moved	890	791
877.345	Moved	876	791
877.361	Moved	872	791
877.378	Moved	870	791
878.849	Moved	870	792
879.267	Moved	871	792
879.283	Moved	873	792
879.300	Moved	875	791
879.317	Moved	877	790
879.334	Moved	878	790
879.368	Moved	879	790
879.383	Moved	880	790
879.400	Moved	882	789
879.417	Moved	883	789
879.434	Moved	884	789
879.450	Moved	886	789
879.484	Moved	887	788
879.517	Moved	888	788
879.550	Moved	889	788
879.584	Moved	890	788
879.634	Moved	891	788
879.668	Moved	892	788
879.718	Moved	893	787
879.735	Moved	894	787
879.784	Moved	895	786
879.935	Moved	896	786
879.952	Moved	898	785
879.968	Moved	900	784
879.985	Moved	901	784
880.887	Moved	903	784
881.071	Moved	904	784
881.121	Moved	905	784
881.155	Moved	906	784
881.790	Moved	907	784
881.823	Moved	908	784
881.873	Moved	909	784
882.007	Moved	910	784
882.024	Moved	912	785
882.041	Moved	914	785
882.057	Moved	916	785
882.074	Moved	917	785
882.174	Moved	918	785
882.258	Moved	919	785
882.291	Moved	920	785
882.308	Moved	921	785
882.341	Moved	922	785
882.358	Moved	923	785
882.375	Moved	924	785
882.392	Moved	925	785
882.408	Moved	928	785
882.425	Moved	931	785
882.442	Moved	933	785
882.458	Moved	934	785
882.492	Moved	935	785
882.508	Moved	937	785
882.525	Moved	939	785
882.542	Moved	941	785
882.559	Moved	942	785
883.177	Moved	942	786
883.361	Moved	941	786
883.428	Moved	940	786
883.461	Moved	939	786
883.478	Moved	939	788
883.494	Moved	935	788
883.511	Moved	928	790
883.528	Moved	917	790
883.545	Moved	902	791
883.561	Moved	887	791
883.578	Moved	874	791
883.595	Moved	853	791
883.612	Moved	836	791
883.628	Moved	823	791
883.645	Moved	815	791
883.662	Moved	812	791
883.678	Moved	810	791
883.695	Moved	809	791
883.712	Moved	808	791
883.930	Moved	809	791
883.946	Moved	813	791
883.964	Moved	821	791
883.979	Moved	830	791
883.996	Moved	837	791
884.012	Moved	844	791
884.029	Moved	852	791
884.062	Moved	865	791
884.063	Moved	879	791
884.079	Moved	888	791
884.096	Moved	891	791
884.347	Moved	893	791
884.365	Moved	895	791
884.380	Moved	899	791
